race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Caucasian (European),42,Yes,Female,Right,Another page,US,1,2,3,3,5,1,3,4,5,2,4,2,4,2,4,3,1,1,4,3,1,4,1,4,1,4,1,5,2,4,4,4,4,4,2,4,4,1,4,3,2,2,4,1,4,1,5,1,5,4,35,32,43,32,39,70.0,64.0,86.0,64.0,78.0
Other,15,No,Female,Right,Another page,IN,3,1,5,5,5,1,4,4,4,2,4,4,4,3,5,4,2,3,5,4,1,5,1,5,1,2,1,5,4,5,3,3,4,5,2,4,1,3,3,2,5,1,5,1,5,1,3,4,5,5,38,36,46,24,47,76.0,72.0,92.0,48.0,94.0
South East Asian,22,No,Female,Right,Other or not provided,CN,5,2,4,4,5,2,4,2,5,2,2,2,3,2,3,2,4,3,2,3,4,5,4,1,5,1,4,4,1,2,3,3,5,2,4,1,3,5,4,4,3,1,4,1,5,1,4,5,4,4,41,30,21,36,44,82.0,60.0,42.0,72.0,88.0
Caucasian (European),24,No,Female,Left,Another page,AU,5,1,4,5,5,2,3,5,1,5,4,3,5,5,4,4,4,5,4,5,2,3,1,5,3,5,3,3,5,3,1,1,5,3,3,1,5,1,4,5,5,4,5,4,3,3,5,3,5,4,30,39,39,41,37,60.0,78.0,78.0,82.0,74.0
Caucasian (Indian),27,Yes,Female,Right,Another page,IN,1,4,4,4,4,4,3,5,2,4,3,4,4,3,3,2,4,3,2,2,1,5,1,5,1,4,2,4,4,4,4,3,4,3,2,1,4,3,2,3,5,1,3,1,3,3,4,2,5,3,23,28,45,33,38,46.0,56.0,90.0,66.0,76.0
Caucasian (European),44,,Female,Right,Another page,GB,2,3,5,3,5,4,3,5,1,5,4,4,3,2,4,4,3,1,4,3,1,5,1,5,1,4,2,5,5,4,4,5,5,4,4,4,4,2,5,4,4,4,4,3,4,4,4,2,5,4,26,32,47,35,34,52.0,64.0,94.0,70.0,68.0
Caucasian (European),14,No,Male,Both,Google,DE,1,4,3,1,2,3,2,1,5,5,1,5,3,4,2,2,2,1,2,1,3,3,4,4,2,5,3,2,1,1,4,5,5,5,2,5,5,5,2,3,5,1,5,1,5,1,5,5,4,5,29,17,28,25,49,58.0,34.0,56.0,50.0,98.0
Other,15,Yes,Female,Right,Google,GB,3,1,5,4,4,3,4,3,3,3,5,5,5,3,4,5,4,4,4,2,5,4,1,5,3,5,3,4,4,3,5,3,5,2,5,3,4,3,2,3,3,4,3,3,4,4,3,2,2,3,35,37,37,37,27,70.0,74.0,74.0,74.0,54.0
Other,15,Yes,Female,Right,Google,GB,3,3,5,5,5,5,2,1,1,5,2,2,5,3,5,5,3,2,5,3,5,2,1,4,5,5,3,5,2,3,5,1,5,1,5,1,5,1,5,5,1,1,5,3,4,5,5,1,5,5,27,37,31,50,35,54.0,74.0,62.0,100.0,70.0
Caucasian (European),27,Yes,Female,Right,Another page,BG,2,5,1,3,4,3,1,4,1,4,1,5,2,3,3,1,2,1,1,4,3,3,3,4,4,4,3,2,2,5,5,2,5,1,4,1,5,2,3,5,5,1,4,1,3,2,5,4,5,4,20,19,31,45,44,40.0,38.0,62.0,90.0,88.0
Caucasian (European),38,No,Female,Right,Another page,AU,2,4,3,4,3,4,2,4,2,4,4,2,4,2,3,4,4,4,4,4,2,3,3,4,2,4,3,4,4,4,4,3,4,3,3,4,3,2,4,4,4,3,4,3,3,2,4,4,4,4,22,39,37,34,37,44.0,78.0,74.0,68.0,74.0
Caucasian (European),26,Yes,Male,Right,Another page,US,4,2,4,1,4,1,4,2,5,4,2,4,4,4,2,2,2,1,2,1,4,5,1,5,2,5,1,5,5,4,2,4,4,2,2,4,4,1,4,3,4,2,2,1,4,4,4,4,5,4,41,20,45,32,38,82.0,40.0,90.0,64.0,76.0
Caucasian (Indian),21,No,Male,,Another page,IN,1,1,1,5,1,4,1,3,3,5,3,3,4,3,5,5,5,4,1,3,4,4,3,4,3,5,4,5,4,3,2,4,3,5,1,5,4,3,1,2,1,3,4,3,3,3,3,3,4,3,19,36,35,20,30,38.0,72.0,70.0,40.0,60.0
Caucasian (European),43,Yes,Female,Right,Another page,GB,3,3,3,2,4,2,3,4,2,3,3,3,4,3,4,4,3,3,5,2,2,3,3,4,2,4,2,4,4,3,5,2,5,2,4,2,4,2,5,4,4,3,4,4,4,2,4,2,3,4,31,34,37,43,34,62.0,68.0,74.0,86.0,68.0
Caucasian (European),27,Yes,Female,Right,Another page,US,5,1,5,1,5,2,5,3,5,1,4,3,4,3,2,2,2,2,4,2,1,5,2,5,1,5,1,5,5,5,4,2,3,3,3,4,4,1,5,4,4,3,4,2,3,2,5,2,5,4,47,28,49,37,38,94.0,56.0,98.0,74.0,76.0
South East Asian,17,Yes,Female,Right,Google,US,3,2,3,3,4,2,4,4,3,3,5,3,5,1,2,3,4,4,4,4,2,4,2,4,2,5,2,4,4,4,3,3,4,2,3,4,4,3,3,3,3,3,4,2,3,2,4,3,4,4,33,39,41,32,36,66.0,78.0,82.0,64.0,72.0
Caucasian (Indian),21,No,Female,Right,Google,IN,2,4,2,3,2,4,1,2,4,5,4,3,4,3,4,4,4,4,4,3,4,3,2,4,3,4,3,4,4,3,3,4,4,3,2,3,2,3,3,3,1,3,5,3,3,2,3,2,3,3,23,37,34,28,30,46.0,74.0,68.0,56.0,60.0
Other,17,No,Female,Right,Another page,PK,3,3,2,5,3,4,2,1,5,5,4,2,5,3,4,4,5,5,4,3,4,2,1,3,3,2,5,3,5,4,3,3,4,2,4,3,3,1,3,3,1,3,5,3,4,1,4,3,4,5,27,41,30,35,37,54.0,82.0,60.0,70.0,74.0
Other,25,No,Male,Right,Another page,IN,1,4,3,4,1,4,1,2,4,5,5,2,4,4,5,4,4,4,4,4,4,2,1,5,4,5,2,1,4,4,5,1,5,4,2,1,2,1,4,2,1,4,4,2,4,5,2,2,3,2,21,40,34,37,25,42.0,80.0,68.0,74.0,50.0
Caucasian (European),47,Yes,Male,Right,Other or not provided,US,2,3,4,2,4,2,3,4,4,3,4,3,4,3,2,3,3,2,3,2,1,5,2,5,1,4,1,4,4,4,4,2,4,3,5,1,5,1,4,4,4,1,5,1,4,1,4,4,4,5,33,29,45,43,45,66.0,58.0,90.0,86.0,90.0
South East Asian,17,No,Female,Right,Another page,PH,1,4,2,5,3,2,1,1,1,5,5,1,5,4,5,5,4,4,3,4,1,2,3,4,2,5,1,3,4,4,1,4,4,4,1,4,4,4,3,4,3,2,5,2,4,1,3,1,5,4,21,42,39,25,38,42.0,84.0,78.0,50.0,76.0
Caucasian (European),26,No,Female,Right,Other or not provided,NO,2,4,3,3,3,3,3,3,2,3,3,4,2,4,3,2,3,2,2,2,2,4,2,4,2,4,2,4,4,3,4,2,4,2,3,2,4,2,4,4,4,2,3,2,3,3,4,3,4,4,27,23,39,39,36,54.0,46.0,78.0,78.0,72.0
Caucasian (European),52,Yes,Male,Right,Another page,US,4,2,5,2,5,1,5,2,5,2,4,3,4,2,2,4,4,2,2,4,1,5,4,5,1,5,1,5,5,5,4,2,4,4,4,2,4,2,4,4,4,1,4,1,4,1,5,3,4,4,45,33,47,38,43,90.0,66.0,94.0,76.0,86.0
Caucasian (European),31,No,Male,Right,Google,PT,2,3,4,3,3,2,2,4,2,5,3,3,5,2,2,4,3,2,2,2,2,4,1,4,1,3,1,4,4,4,4,3,5,1,3,1,4,2,5,4,5,2,4,2,4,4,4,5,4,4,26,30,42,42,40,52.0,60.0,84.0,84.0,80.0
South East Asian,32,Yes,Female,Right,Another page,IN,5,1,5,3,5,1,5,3,3,3,3,3,5,1,5,5,1,1,4,1,5,5,1,5,1,5,1,5,5,4,3,1,2,1,4,4,5,1,5,4,5,1,2,1,5,1,5,1,4,5,42,33,45,40,42,84.0,66.0,90.0,80.0,84.0
Caucasian (European),32,No,Female,Right,Other or not provided,ZA,2,3,4,3,3,2,2,2,2,3,3,2,1,5,3,2,1,1,3,1,2,5,3,2,4,2,1,5,2,2,2,1,4,1,2,4,4,1,5,5,4,1,5,1,5,1,4,4,4,5,30,20,32,39,46,60.0,40.0,64.0,78.0,92.0
North East Asian,30,No,Female,Right,Another page,PH,3,3,3,3,2,4,2,3,3,5,3,3,4,3,3,3,3,3,3,3,3,2,4,4,3,4,4,3,3,3,3,4,5,2,4,4,2,3,3,3,2,2,4,2,3,2,4,4,4,4,25,31,29,31,37,50.0,62.0,58.0,62.0,74.0
Caucasian (European),26,Yes,Female,Both,Another page,US,2,4,3,4,2,1,2,5,1,5,3,3,4,4,3,1,2,2,2,3,1,5,1,5,1,5,1,5,5,4,5,2,5,1,4,1,5,2,4,4,5,1,5,1,5,1,5,5,5,5,21,25,49,45,50,42.0,50.0,98.0,90.0,100.0
Caucasian (European),16,Yes,Female,Right,Another page,US,5,2,3,2,3,2,4,2,5,4,3,4,5,3,2,3,1,1,2,3,2,4,2,4,2,5,2,4,5,5,3,4,5,4,2,3,2,2,3,4,5,1,5,1,4,1,3,4,4,5,38,25,43,30,45,76.0,50.0,86.0,60.0,90.0
Caucasian (Indian),23,No,Male,Right,Another page,IN,3,5,2,4,1,5,1,4,3,1,4,4,4,3,4,4,4,4,4,3,4,2,2,4,3,3,4,3,4,2,2,3,3,4,3,5,1,2,3,4,3,4,4,3,4,2,4,3,4,3,21,36,29,26,34,42.0,72.0,58.0,52.0,68.0
South East Asian,22,No,Female,Right,Another page,MY,1,3,5,4,3,3,3,1,3,3,4,1,4,1,3,2,4,3,3,1,4,5,1,4,3,4,3,3,4,4,5,1,5,1,4,1,4,1,4,3,4,3,4,1,3,2,5,2,5,4,31,34,37,45,39,62.0,68.0,74.0,90.0,78.0
Caucasian (European),17,Yes,Female,Right,Another page,US,2,4,2,4,1,4,2,5,1,5,5,2,5,1,4,4,5,4,4,4,3,4,2,4,2,2,2,4,4,3,2,5,4,4,1,5,4,5,2,3,4,4,4,2,4,2,4,2,5,4,16,44,36,21,37,32.0,88.0,72.0,42.0,74.0
Mixed Race,17,Yes,Female,Right,Another page,DE,1,4,1,4,1,3,1,4,4,5,5,2,5,2,2,1,3,2,4,3,4,4,5,3,3,3,3,3,4,2,2,5,4,3,2,5,4,2,3,3,4,1,4,1,4,2,4,4,5,4,18,33,28,27,43,36.0,66.0,56.0,54.0,86.0
Caucasian (European),53,Yes,Female,Right,Other or not provided,US,2,2,5,4,5,1,3,5,2,4,3,4,4,4,1,1,1,1,1,1,1,5,1,5,2,5,2,5,5,5,5,2,5,1,5,1,5,1,5,5,4,2,3,2,5,2,5,3,5,3,31,17,48,49,40,62.0,34.0,96.0,98.0,80.0
Other,21,No,Female,Right,Other or not provided,IN,3,5,4,3,2,2,2,1,3,2,3,3,4,2,3,2,2,3,1,2,4,4,1,4,2,4,2,3,4,3,3,2,4,2,2,2,1,3,4,3,3,4,3,3,3,2,4,1,3,2,31,27,37,32,28,62.0,54.0,74.0,64.0,56.0
Mixed Race,41,Yes,Female,Right,Another page,US,1,4,3,5,3,3,2,4,2,5,3,4,5,4,3,3,3,2,1,1,2,3,3,3,1,5,2,5,5,3,3,5,4,3,2,5,3,3,2,3,1,3,4,5,2,4,2,3,5,2,20,25,40,25,25,40.0,50.0,80.0,50.0,50.0
Caucasian (European),19,Yes,Female,Right,Google,GB,3,4,3,3,3,3,3,5,2,4,3,4,3,3,3,2,3,4,3,3,2,4,2,3,2,4,2,4,3,3,3,4,4,4,2,4,2,3,2,3,3,3,4,3,3,2,2,3,4,3,25,29,37,25,32,50.0,58.0,74.0,50.0,64.0
Caucasian (Indian),21,No,Male,Right,Another page,IN,4,1,5,1,5,1,5,1,5,1,1,4,2,2,2,1,1,1,2,4,1,5,1,4,1,5,1,3,5,5,3,4,3,3,3,3,3,1,2,3,2,5,5,4,4,1,5,2,4,5,49,20,47,30,35,98.0,40.0,94.0,60.0,70.0
Other,16,Yes,Female,Right,Other or not provided,US,3,3,3,3,4,2,3,3,3,3,5,3,5,4,5,5,5,5,5,4,2,3,3,5,2,5,4,4,2,4,3,3,4,2,3,5,3,3,2,3,3,2,4,2,4,2,4,2,5,4,32,44,36,29,38,64.0,88.0,72.0,58.0,76.0
Caucasian (European),23,Yes,Female,Right,Another page,GB,2,2,5,4,5,4,4,5,2,5,4,5,4,2,4,3,2,2,4,4,1,5,1,5,1,4,1,5,5,5,4,4,4,3,4,4,4,2,2,4,3,2,2,3,3,3,4,2,3,2,28,32,49,33,29,56.0,64.0,98.0,66.0,58.0
Other,17,Yes,Female,Right,Another page,US,3,1,2,1,2,1,1,3,2,5,5,1,5,2,5,4,5,5,5,4,5,3,4,2,3,2,5,3,2,3,4,1,5,3,4,3,5,3,5,3,3,2,4,5,5,3,5,2,4,5,29,47,22,40,36,58.0,94.0,44.0,80.0,72.0
Caucasian (European),31,Yes,Female,Right,Google,ZA,1,3,3,3,3,3,2,5,1,5,2,3,3,3,2,3,2,3,2,1,1,5,1,5,2,5,1,5,3,1,5,2,4,1,5,1,4,1,3,4,5,2,3,4,5,2,4,4,4,3,21,24,43,44,38,42.0,48.0,86.0,88.0,76.0
Caucasian (European),23,Yes,Male,Right,Other or not provided,US,2,4,2,4,1,2,2,4,4,4,2,4,2,4,1,1,2,1,1,2,1,4,1,5,1,4,1,5,4,4,2,4,4,1,2,2,2,1,2,3,4,1,4,1,4,2,4,4,4,4,23,16,46,31,42,46.0,32.0,92.0,62.0,84.0
Caucasian (European),20,Yes,Male,Right,Google,GB,2,4,3,4,2,3,2,5,2,4,4,3,4,2,2,2,4,3,3,3,2,4,3,4,3,4,3,4,3,4,5,4,5,3,4,2,4,3,3,4,5,2,3,2,4,2,4,4,4,4,21,32,36,37,40,42.0,64.0,72.0,74.0,80.0
Other,52,No,Female,Right,Google,PA,5,1,5,4,5,1,5,1,5,5,3,3,4,3,3,4,3,3,4,3,1,4,3,5,2,4,2,4,4,4,4,3,4,4,3,4,4,1,4,5,5,3,4,4,5,5,4,3,3,4,43,33,41,36,34,86.0,66.0,82.0,72.0,68.0
Caucasian (Indian),21,No,Female,Right,Another page,IN,1,1,5,3,2,4,2,1,2,5,4,2,5,3,5,5,5,4,5,3,1,5,1,5,1,5,2,5,5,3,3,4,4,2,3,3,5,3,3,3,1,5,5,4,3,2,3,2,4,4,28,43,47,33,29,56.0,86.0,94.0,66.0,58.0
Caucasian (European),19,Yes,Male,Right,Another page,US,4,2,4,2,5,2,5,4,5,2,4,4,4,2,1,2,2,2,2,4,1,5,1,5,4,5,1,4,4,4,4,2,4,2,2,3,5,3,5,3,5,3,5,4,4,5,4,5,4,5,41,27,44,37,38,82.0,54.0,88.0,74.0,76.0
South East Asian,17,No,Female,Right,Another page,ID,2,3,3,5,5,2,4,4,4,3,1,3,4,2,2,2,2,4,2,2,4,1,1,3,2,2,5,3,3,3,3,2,5,5,3,5,5,4,1,3,3,5,4,3,3,2,5,2,4,3,31,26,27,28,32,62.0,52.0,54.0,56.0,64.0
Caucasian (European),19,No,Male,Right,Google,GB,4,2,4,2,4,2,4,3,2,2,4,3,3,2,1,2,5,3,3,4,1,4,2,4,1,3,2,4,4,3,3,5,3,3,2,4,2,4,2,2,5,1,3,1,4,2,5,4,5,5,37,32,40,22,45,74.0,64.0,80.0,44.0,90.0
Caucasian (European),28,Yes,Male,Right,Google,GB,5,1,4,2,5,1,4,2,4,2,3,3,4,2,3,2,4,3,2,3,1,5,1,5,2,4,1,3,4,4,3,4,5,3,2,3,3,3,3,4,5,1,5,1,5,1,5,5,5,5,44,31,44,31,50,88.0,62.0,88.0,62.0,100.0
Caucasian (European),24,Yes,Female,Right,Google,US,4,1,5,2,4,1,4,2,4,1,4,4,5,3,4,4,4,3,5,3,2,4,1,3,3,4,2,4,4,4,5,1,5,1,5,1,5,3,5,5,3,3,3,3,4,3,4,3,4,3,44,37,39,48,33,88.0,74.0,78.0,96.0,66.0
North East Asian,22,No,Male,Right,Other or not provided,JP,2,3,2,4,3,2,1,1,2,2,5,2,5,2,5,5,4,3,5,3,4,2,2,2,3,2,2,1,2,2,3,2,5,4,4,2,5,4,3,5,4,4,3,2,5,2,2,5,4,5,28,43,24,37,38,56.0,86.0,48.0,74.0,76.0
Caucasian (European),48,Yes,Female,Right,Another page,US,1,5,1,5,1,3,1,5,1,5,4,3,4,1,3,3,3,2,2,4,1,5,1,5,1,5,1,5,5,4,5,5,5,4,1,5,4,2,3,5,4,3,3,3,4,3,3,4,4,4,12,33,49,31,35,24.0,66.0,98.0,62.0,70.0
Caucasian (European),37,Yes,Male,Right,Another page,AU,3,1,5,1,5,1,5,2,5,3,4,3,5,1,2,4,5,5,4,4,3,5,5,4,2,5,1,3,5,4,1,4,5,3,1,5,2,3,1,4,3,2,3,3,4,3,5,1,4,4,45,41,39,23,34,90.0,82.0,78.0,46.0,68.0
Caucasian (European),20,Yes,Female,Right,Google,US,2,3,3,4,3,2,2,4,1,3,3,3,3,3,1,2,2,1,2,1,1,4,1,5,1,5,1,4,4,4,4,1,4,1,4,2,5,1,5,4,2,2,5,3,3,1,3,2,3,4,25,21,46,45,34,50.0,42.0,92.0,90.0,68.0
Other,22,No,Female,Right,Another page,MY,3,5,2,3,2,3,2,3,2,5,4,5,4,4,2,4,4,4,4,3,4,4,1,4,2,5,4,3,4,3,3,3,3,3,2,4,3,2,3,3,2,4,4,4,3,2,3,2,4,3,22,32,36,29,29,44.0,64.0,72.0,58.0,58.0
Caucasian (European),26,Yes,Male,Left,Another page,CO,2,3,2,4,2,3,1,3,2,5,2,4,3,3,3,3,3,3,2,3,2,3,3,4,3,3,2,3,4,3,3,2,5,3,1,4,3,3,3,3,5,1,5,1,3,1,4,3,5,5,21,27,34,30,45,42.0,54.0,68.0,60.0,90.0
"Caucasian (North African, Other)",18,Yes,Female,Right,Another page,GB,4,2,4,1,4,2,4,2,5,1,1,4,2,4,4,1,5,4,2,2,5,4,5,1,5,1,2,2,1,3,3,4,5,3,2,1,4,3,3,4,5,2,5,2,5,1,5,5,5,4,43,25,19,34,47,86.0,50.0,38.0,68.0,94.0
South East Asian,21,No,Female,Left,Google,MY,2,4,3,4,4,4,1,4,3,4,2,3,5,2,1,4,2,2,3,2,1,5,2,4,1,5,1,4,4,3,3,5,4,5,2,5,3,3,2,2,4,2,3,2,3,4,3,2,5,3,23,28,44,22,33,46.0,56.0,88.0,44.0,66.0
Caucasian (European),25,Yes,Female,Right,Other or not provided,US,2,3,3,3,4,2,1,3,1,3,4,3,5,3,4,4,4,3,4,3,1,5,2,5,1,5,1,4,5,4,4,1,5,2,2,1,5,2,4,5,5,2,4,2,4,2,5,4,5,4,27,37,47,43,43,54.0,74.0,94.0,86.0,86.0
"West African, Bushmen, Ethiopian",24,Yes,Female,Right,Another page,GB,1,2,3,1,1,1,1,3,4,5,3,2,5,3,3,5,4,1,4,3,5,3,1,5,1,5,2,5,5,5,5,1,4,1,5,1,5,1,5,5,4,3,5,1,5,1,5,3,4,5,28,35,43,49,44,56.0,70.0,86.0,98.0,88.0
Caucasian (European),32,Yes,Female,Right,Another page,GB,4,2,5,3,5,2,3,4,2,3,1,4,2,4,2,3,1,1,2,1,1,4,1,5,1,5,2,4,4,4,3,3,4,2,2,2,4,2,3,4,4,3,5,3,4,1,4,4,4,4,35,17,45,35,40,70.0,34.0,90.0,70.0,80.0
Mixed Race,20,No,Female,Right,Other or not provided,US,3,2,4,2,4,2,4,4,3,4,3,3,4,4,3,1,2,2,3,2,1,5,1,5,1,4,1,4,5,5,4,5,5,2,3,2,4,1,4,5,5,1,4,1,4,2,5,5,4,4,34,25,48,39,45,68.0,50.0,96.0,78.0,90.0
Caucasian (Indian),21,No,Male,Right,Another page,IN,1,4,4,5,4,5,2,2,2,4,3,2,5,4,4,4,4,4,4,4,3,4,4,5,2,4,2,4,4,4,4,3,2,4,4,2,3,3,3,3,2,3,5,4,4,2,3,2,4,4,23,38,38,31,33,46.0,76.0,76.0,62.0,66.0
Caucasian (European),32,Yes,Male,Right,Google,GB,2,4,3,4,3,2,1,4,2,5,3,5,3,2,3,1,2,1,3,3,2,4,1,4,3,4,2,4,4,4,4,3,5,1,3,1,4,1,3,5,4,1,5,1,5,1,5,4,5,5,22,24,40,42,48,44.0,48.0,80.0,84.0,96.0
South East Asian,32,Yes,Female,Right,Another page,SG,2,5,2,4,1,4,1,4,3,5,5,2,5,2,4,2,5,4,4,3,5,1,1,3,5,4,5,3,3,1,3,2,5,1,2,1,5,1,4,4,1,4,5,5,3,2,4,1,3,2,17,40,23,42,26,34.0,80.0,46.0,84.0,52.0
Caucasian (European),46,Yes,Female,Right,Another page,US,4,1,5,3,5,1,4,4,2,2,3,4,3,4,2,2,2,2,2,3,1,5,2,4,5,3,2,3,4,5,2,5,2,3,1,3,5,4,2,1,4,1,4,1,5,2,3,3,5,4,39,23,38,22,42,78.0,46.0,76.0,44.0,84.0
South East Asian,21,No,Female,Right,Another page,PH,1,2,2,4,4,3,4,2,4,4,3,2,4,2,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,3,4,4,4,3,3,5,4,2,3,3,2,4,4,4,30,39,33,31,32,60.0,78.0,66.0,62.0,64.0
Caucasian (European),35,Yes,Male,Right,Another page,GB,2,4,4,3,4,2,4,4,2,3,2,3,2,4,4,2,2,1,2,2,1,5,1,4,2,4,2,4,4,4,4,3,4,2,1,3,3,1,2,4,4,2,4,2,5,2,5,2,4,4,30,22,43,33,40,60.0,44.0,86.0,66.0,80.0
Other,15,Yes,Female,Right,Google,GB,3,1,5,2,5,3,5,2,3,3,5,4,5,3,5,4,4,4,4,3,2,4,1,5,5,5,1,4,4,4,5,3,4,3,5,3,3,3,3,4,3,3,3,3,3,4,4,2,3,2,40,39,41,36,28,80.0,78.0,82.0,72.0,56.0
Native American,14,No,Male,Right,Another page,US,3,3,1,4,5,1,5,2,3,1,1,5,4,2,1,3,1,1,2,1,4,4,1,4,1,3,1,4,3,4,2,2,4,3,4,2,1,3,3,3,4,3,4,2,4,2,3,3,2,5,36,19,39,31,36,72.0,38.0,78.0,62.0,72.0
Caucasian (European),17,No,Female,Right,Another page,HU,3,1,3,4,5,1,5,1,3,1,1,4,2,4,2,3,2,2,3,1,3,5,2,2,5,1,2,1,1,3,2,3,5,2,1,5,2,5,1,4,5,1,5,1,5,1,5,4,4,4,41,20,25,24,47,82.0,40.0,50.0,48.0,94.0
Native American,14,No,Female,Right,Another page,US,2,2,3,3,2,4,1,2,3,5,5,5,5,4,4,5,5,5,3,5,4,2,2,4,3,5,3,2,3,3,3,4,3,2,1,5,3,4,4,2,1,4,4,3,3,3,3,4,4,4,25,40,31,25,31,50.0,80.0,62.0,50.0,62.0
Caucasian (European),39,Yes,Female,Right,Other or not provided,US,1,3,3,4,4,2,4,5,1,4,4,2,5,2,3,4,1,2,4,4,1,5,1,5,1,4,1,4,5,3,4,1,5,1,4,1,4,2,5,5,3,3,4,2,3,4,3,4,4,2,25,35,46,46,32,50.0,70.0,92.0,92.0,64.0
Caucasian (Indian),31,No,Male,Right,Another page,IN,3,4,4,2,5,2,4,4,5,2,5,3,4,5,4,3,4,4,3,2,5,4,2,5,1,4,2,4,4,4,4,4,4,1,4,3,5,2,5,2,3,4,5,2,4,2,4,1,3,4,37,33,39,38,34,74.0,66.0,78.0,76.0,68.0
Caucasian (European),32,Yes,Female,Right,Google,GB,4,2,3,2,3,2,5,4,2,2,4,3,4,3,2,2,3,2,3,3,1,5,1,4,3,5,1,3,5,4,3,2,4,3,2,2,4,1,2,4,4,1,5,1,4,1,5,4,5,4,35,29,44,35,46,70.0,58.0,88.0,70.0,92.0
Other,41,No,Male,Right,Other or not provided,UG,4,1,4,4,4,1,1,2,4,4,2,4,4,3,4,4,4,3,4,3,1,5,1,5,1,5,3,3,4,4,5,3,5,2,4,2,5,3,4,3,4,2,4,2,4,1,4,3,5,4,35,33,44,40,41,70.0,66.0,88.0,80.0,82.0
Other,47,Yes,Female,Left,Google,US,1,2,3,4,3,1,1,5,1,5,1,5,2,5,1,1,1,1,2,1,1,5,1,5,1,3,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,3,1,5,1,5,3,5,5,22,12,48,50,46,44.0,24.0,96.0,100.0,92.0
Caucasian (Indian),27,No,Female,Right,Another page,IN,2,4,4,4,2,5,1,1,5,2,1,3,5,3,5,5,2,4,4,3,5,3,1,5,2,5,3,2,5,5,1,1,4,3,3,2,4,2,5,4,2,4,4,2,2,3,2,4,4,2,28,35,38,37,29,56.0,70.0,76.0,74.0,58.0
Caucasian (European),43,Yes,Female,Right,Another page,US,3,1,5,1,5,1,4,1,5,1,2,4,2,5,2,1,2,1,1,1,1,5,2,5,2,4,1,3,3,4,4,2,4,2,2,1,5,2,2,4,3,3,4,2,4,2,4,1,3,4,47,15,42,38,34,94.0,30.0,84.0,76.0,68.0
Caucasian (European),47,No,Female,,Another page,DE,3,1,5,2,5,1,5,2,3,1,2,4,4,3,4,2,1,1,2,1,1,5,3,4,1,4,1,5,5,4,4,1,4,2,5,1,5,3,5,4,4,2,4,1,4,1,5,5,5,5,44,22,45,44,46,88.0,44.0,90.0,88.0,92.0
Caucasian (European),20,Yes,Female,Right,Google,CA,4,3,4,3,2,2,4,3,4,3,3,3,4,3,2,2,4,3,2,2,2,4,3,3,3,3,2,3,3,4,3,2,3,2,2,2,3,4,4,3,4,2,3,2,3,3,4,4,3,2,34,28,34,32,34,68.0,56.0,68.0,64.0,68.0
South East Asian,15,Yes,Female,Right,Google,CA,3,1,4,2,4,1,4,2,2,5,5,2,5,2,4,4,5,4,5,2,1,5,4,4,2,4,1,3,4,4,4,1,5,2,4,1,5,1,5,5,3,3,4,3,4,1,4,2,4,5,36,42,40,47,37,72.0,84.0,80.0,94.0,74.0
Caucasian (Indian),21,Yes,Female,Right,Google,US,2,2,3,5,4,3,1,4,3,5,4,3,4,3,4,4,3,3,3,2,1,4,1,4,2,5,2,4,4,2,5,4,5,3,2,4,4,1,4,5,5,3,2,3,4,3,5,2,4,3,24,33,41,37,34,48.0,66.0,82.0,74.0,68.0
Other,15,Yes,Female,Right,Another page,US,5,1,3,3,1,3,5,3,5,5,1,5,5,2,5,5,3,3,5,1,3,5,3,3,3,5,5,1,4,3,4,1,5,4,1,5,5,3,4,3,4,2,5,3,5,1,3,4,3,5,34,33,31,33,41,68.0,66.0,62.0,66.0,82.0
Caucasian (European),59,Yes,Female,Right,Google,US,4,1,5,1,5,1,4,1,5,1,1,5,1,5,1,1,2,1,1,1,1,5,1,5,1,5,1,5,5,5,2,1,4,1,4,1,5,1,4,5,5,1,5,1,5,1,5,5,5,5,48,11,50,44,50,96.0,22.0,100.0,88.0,100.0
Caucasian (European),47,Yes,Female,Right,Another page,US,3,2,5,2,5,1,4,2,4,2,2,4,2,4,3,2,3,3,2,2,1,4,2,5,1,5,1,4,4,4,4,3,3,2,4,1,4,3,4,3,2,1,5,3,4,2,4,2,3,4,42,23,45,37,36,84.0,46.0,90.0,74.0,72.0
Caucasian (European),35,No,Male,Left,Another page,RS,1,4,3,5,3,4,3,3,4,4,3,4,5,2,3,3,3,3,3,3,3,3,2,4,3,4,3,4,4,3,3,3,5,3,5,3,3,1,4,4,5,1,5,1,5,1,5,4,5,5,24,32,35,38,49,48.0,64.0,70.0,76.0,98.0
