,race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
3894,4,24,2,1,1,1,IN,5,3,5,4,5,2,5,5,2,5,5,5,2,5,1,1,5,5,1,1,1,5,1,5,1,5,5,5,5,5,5,5,2,2,1,5,1,5,1,5,5,1,5,1,5,1,5,2,5,3,33,23,46,22,45,66.0,46.0,92.0,44.0,90.0
3895,3,23,1,2,1,1,IE,5,2,4,3,5,3,5,2,4,3,1,5,1,2,2,1,2,2,3,4,2,4,2,4,3,1,3,3,2,5,4,4,4,3,2,4,3,4,1,3,5,1,5,1,5,1,5,5,5,5,40,21,33,26,50,80.0,42.0,66.0,52.0,100.0
3896,3,22,2,1,1,1,GR,2,4,3,4,4,4,2,2,3,5,3,3,4,4,2,2,4,3,1,4,2,5,1,3,2,4,2,3,4,4,3,2,3,3,1,5,3,4,3,2,4,2,4,2,4,2,5,3,4,4,25,28,40,25,40,50.0,56.0,80.0,50.0,80.0
3897,4,37,2,1,1,1,IN,3,3,5,3,3,1,3,1,5,3,5,1,5,2,5,5,3,3,2,4,5,3,1,5,1,5,3,5,5,4,2,5,4,3,3,4,1,1,4,3,3,4,4,3,3,2,2,1,3,3,38,41,41,28,28,76.0,82.0,82.0,56.0,56.0
3898,3,41,1,2,1,1,US,3,2,4,2,4,2,4,4,2,2,4,2,5,2,3,5,4,5,5,4,1,4,1,5,2,5,2,4,5,4,5,4,4,1,3,3,3,1,2,5,5,5,2,4,2,5,5,3,5,1,35,43,45,37,27,70.0,86.0,90.0,74.0,54.0
3899,4,34,1,1,1,1,IN,3,1,4,4,5,1,4,1,5,4,4,2,4,4,4,4,4,3,4,3,4,5,1,4,2,5,1,5,5,5,3,2,4,2,3,3,3,1,4,3,5,3,4,3,4,2,4,4,4,4,40,36,45,36,39,80.0,72.0,90.0,72.0,78.0
3900,3,15,1,1,1,1,AU,3,3,4,2,3,2,2,5,2,3,5,3,5,1,4,4,4,5,4,5,3,3,5,4,4,3,4,3,3,4,4,4,4,3,3,3,4,3,3,4,5,2,4,2,4,3,4,4,4,3,29,44,28,33,39,58.0,88.0,56.0,66.0,78.0
3901,3,31,1,1,1,1,GB,1,3,5,5,5,5,1,5,5,1,5,5,5,1,5,5,5,5,5,5,1,5,1,5,1,5,1,5,5,5,5,1,5,5,1,1,5,1,2,5,4,1,5,1,5,1,5,3,5,5,28,46,50,39,47,56.0,92.0,100.0,78.0,94.0
3902,11,21,2,1,1,3,PH,1,4,2,5,3,5,5,5,1,5,2,4,5,2,3,4,2,2,3,2,2,5,2,5,1,3,1,4,5,3,3,3,3,4,2,3,4,3,3,3,4,2,4,2,3,1,3,3,5,3,18,29,43,29,38,36.0,58.0,86.0,58.0,76.0
3903,3,35,1,1,1,1,JP,1,3,5,4,4,2,4,5,1,2,2,4,2,4,2,2,1,2,2,2,2,2,3,4,2,4,2,4,4,4,3,3,2,2,2,3,3,2,4,3,4,1,4,1,4,4,4,4,4,5,29,19,37,31,41,58.0,38.0,74.0,62.0,82.0
3904,3,30,1,2,1,1,GB,4,1,5,1,5,1,5,1,5,1,1,4,1,1,2,2,1,1,2,2,1,5,1,4,1,5,1,4,5,5,4,1,4,1,3,1,3,1,3,4,4,2,4,2,4,1,5,4,4,3,49,19,48,41,41,98.0,38.0,96.0,82.0,82.0
3905,11,18,1,1,1,1,SG,1,2,3,4,2,3,2,5,1,4,3,3,5,2,4,4,4,5,4,4,2,4,2,4,2,3,2,4,4,3,4,2,4,3,3,3,3,3,4,3,3,2,5,1,5,1,4,4,5,5,21,40,38,34,45,42.0,80.0,76.0,68.0,90.0
3906,4,25,2,1,1,1,IN,2,3,4,4,4,3,3,4,4,4,2,4,4,3,2,2,2,2,2,1,4,4,1,4,2,4,2,4,4,4,2,2,4,2,4,3,3,3,3,4,3,1,3,1,3,3,4,1,4,3,29,22,39,34,34,58.0,44.0,78.0,68.0,68.0
3907,13,55,2,1,1,1,KE,2,3,3,2,3,2,2,3,3,3,3,4,4,3,4,3,4,4,3,4,1,4,1,4,2,4,1,4,4,4,4,2,4,1,3,1,4,2,4,4,2,4,4,4,4,1,3,3,4,3,30,34,43,41,32,60.0,68.0,86.0,82.0,64.0
3908,4,29,2,1,1,1,IN,2,5,2,4,2,5,1,4,1,5,4,4,5,2,2,2,2,1,1,2,4,4,1,4,4,4,4,4,2,4,3,2,5,1,4,2,5,2,5,5,5,3,4,4,5,1,5,5,5,5,15,25,33,44,44,30.0,50.0,66.0,88.0,88.0
3909,1,53,1,1,1,1,US,1,1,4,3,4,3,2,3,3,5,3,3,5,2,2,5,5,4,5,5,3,4,4,3,2,5,3,4,3,3,3,3,5,2,3,1,5,2,4,5,4,2,5,3,5,1,4,4,5,5,29,41,34,41,44,58.0,82.0,68.0,82.0,88.0
3910,3,34,1,2,1,1,US,1,2,2,4,5,4,1,4,2,4,5,2,5,1,5,5,3,2,5,4,1,4,2,5,1,5,1,5,3,5,1,3,4,4,5,2,4,1,5,3,5,4,5,1,2,1,2,3,5,3,23,43,46,36,37,46.0,86.0,92.0,72.0,74.0
3911,3,18,1,2,2,1,GB,4,3,2,3,2,3,3,2,4,5,2,4,4,1,4,4,5,5,4,5,3,5,5,2,4,2,2,4,2,3,2,2,4,4,4,1,5,4,4,3,4,2,5,1,5,1,2,4,5,5,29,40,28,35,44,58.0,80.0,56.0,70.0,88.0
3912,11,15,2,1,1,1,PH,3,2,4,3,5,4,1,3,5,4,4,5,4,4,4,3,1,2,2,2,4,4,2,4,2,5,2,3,4,4,3,2,4,3,4,5,4,2,2,3,2,2,5,1,2,1,3,2,5,4,32,25,38,32,37,64.0,50.0,76.0,64.0,74.0
3913,3,23,1,2,1,5,US,4,2,3,3,3,1,3,3,3,5,3,4,3,1,5,4,3,2,4,4,1,4,2,4,2,5,2,4,5,3,4,4,3,3,4,1,4,1,2,5,5,1,5,1,5,1,5,5,5,5,32,35,42,37,50,64.0,70.0,84.0,74.0,100.0
3914,9,18,1,1,1,5,HK,3,3,1,4,1,1,1,5,2,5,5,1,5,1,5,3,5,5,5,4,1,3,1,3,1,5,1,5,5,4,5,3,5,4,2,3,5,1,1,4,5,1,3,1,5,2,5,5,5,5,20,47,45,35,47,40.0,94.0,90.0,70.0,94.0
3915,1,44,1,2,1,1,US,1,3,3,4,3,3,1,5,1,4,3,3,4,2,3,3,2,3,4,4,1,2,2,4,2,4,4,4,5,4,3,2,4,2,4,2,5,1,4,5,4,1,4,3,4,2,5,4,3,4,20,33,38,42,40,40.0,66.0,76.0,84.0,80.0
3916,13,14,2,2,1,1,PK,4,1,3,2,5,2,4,3,3,2,5,2,4,4,4,4,5,4,3,4,5,5,2,5,1,5,2,4,4,4,3,2,4,3,3,4,5,3,2,3,3,3,5,2,5,1,4,2,4,5,39,39,41,32,40,78.0,78.0,82.0,64.0,80.0
3917,1,59,1,1,2,1,AU,5,3,5,3,5,1,5,3,5,1,3,5,5,1,3,3,3,1,3,5,1,5,3,5,3,3,3,5,3,5,5,5,5,3,3,5,3,3,1,5,5,5,5,1,5,1,5,5,5,5,44,32,40,30,46,88.0,64.0,80.0,60.0,92.0
3918,12,24,2,2,1,5,,2,3,2,2,3,2,3,5,2,5,3,4,4,4,2,2,4,3,3,2,1,4,1,5,1,5,2,4,5,5,4,1,5,2,4,1,5,1,5,5,4,2,5,2,4,1,5,4,5,4,25,27,47,47,44,50.0,54.0,94.0,94.0,88.0
3919,1,20,2,1,1,1,JO,1,2,3,4,5,1,1,5,1,5,4,2,5,1,4,1,3,3,1,1,4,5,1,4,2,1,1,5,1,5,1,3,5,1,3,2,5,2,3,5,2,1,5,1,5,1,5,2,5,5,24,31,37,38,44,48.0,62.0,74.0,76.0,88.0
3920,1,41,1,2,1,2,TT,2,4,4,4,3,2,2,4,2,3,3,4,3,3,2,3,2,1,3,1,1,4,1,4,2,4,2,3,4,4,2,1,5,1,4,1,4,1,4,4,4,1,4,1,5,1,4,4,5,5,26,23,41,43,46,52.0,46.0,82.0,86.0,92.0
3921,3,37,1,1,1,1,US,5,1,5,1,5,1,5,2,5,1,1,5,1,5,1,1,1,1,1,1,2,5,1,2,2,5,1,4,4,5,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,1,5,49,10,43,50,46,98.0,20.0,86.0,100.0,92.0
3922,5,30,1,2,1,1,LB,1,5,1,5,2,4,1,5,1,5,2,5,3,5,2,2,3,3,2,4,4,3,1,4,3,4,4,5,5,5,3,2,5,1,3,2,4,3,3,4,4,1,4,2,4,3,5,4,5,4,12,23,38,38,42,24.0,46.0,76.0,76.0,84.0
3923,11,22,2,1,1,1,MY,1,4,4,3,3,4,3,4,2,4,4,5,4,4,4,3,3,2,4,2,2,5,1,3,3,4,4,4,4,3,3,4,4,3,3,3,4,1,3,3,3,3,4,3,3,2,3,2,4,3,24,29,37,33,32,48.0,58.0,74.0,66.0,64.0
3924,3,20,1,1,1,1,CA,4,1,4,3,4,1,5,2,4,2,2,3,2,2,2,3,3,3,2,1,3,4,4,2,2,3,2,4,3,4,4,4,4,2,3,4,3,2,2,4,3,2,5,4,5,5,4,3,4,5,42,25,33,32,36,84.0,50.0,66.0,64.0,72.0
3925,3,46,1,2,2,1,US,3,3,5,2,5,3,4,2,5,3,4,3,3,2,3,2,5,4,3,4,1,5,1,5,1,5,2,4,5,4,2,4,3,3,2,4,3,2,4,3,4,3,3,2,4,2,3,4,4,3,39,35,47,28,36,78.0,70.0,94.0,56.0,72.0
3926,13,18,1,2,1,5,GB,3,3,3,3,4,1,5,3,2,3,5,2,5,4,4,4,4,4,4,5,5,3,3,4,2,3,2,3,5,4,2,4,3,5,3,3,4,4,1,3,3,2,3,2,3,3,1,1,5,4,34,41,34,24,31,68.0,82.0,68.0,48.0,62.0
3927,3,24,1,2,1,2,US,5,2,5,2,5,1,4,2,5,2,4,4,4,2,3,2,4,2,3,2,1,5,3,4,2,4,1,4,4,4,3,2,4,3,4,2,4,1,4,4,5,1,5,1,5,1,5,4,5,5,45,30,42,39,49,90.0,60.0,84.0,78.0,98.0
3928,13,20,1,1,1,1,IN,3,5,2,4,2,1,2,3,3,5,1,4,5,3,5,4,4,4,5,5,4,4,2,5,1,5,2,3,5,4,2,3,4,5,3,5,4,3,1,3,3,4,4,3,4,1,3,5,3,4,24,38,41,25,36,48.0,76.0,82.0,50.0,72.0
3929,11,20,1,1,1,2,JP,1,3,1,4,3,3,1,5,3,5,3,4,5,1,5,5,5,5,5,5,4,1,4,2,4,1,5,4,5,4,4,4,5,5,1,5,4,1,3,5,5,1,5,1,5,1,5,5,5,5,19,45,24,31,50,38.0,90.0,48.0,62.0,100.0
3930,11,26,1,1,1,2,CA,4,2,4,2,4,2,4,2,4,2,1,4,2,5,1,2,1,1,3,2,3,2,2,2,4,1,3,4,1,3,4,2,4,2,4,1,4,1,4,4,5,1,4,1,4,1,4,5,4,4,40,16,25,42,45,80.0,32.0,50.0,84.0,90.0
3931,13,21,2,1,1,5,BR,2,5,2,4,2,5,2,4,4,3,2,4,3,3,2,2,3,2,2,4,4,2,1,2,4,3,4,3,2,3,4,4,4,4,3,4,4,3,4,3,4,3,3,2,3,2,5,4,5,4,21,25,26,31,39,42.0,50.0,52.0,62.0,78.0
3932,11,19,2,2,1,2,MY,1,3,3,3,4,3,3,3,5,5,1,5,1,4,3,2,2,2,4,2,3,2,4,3,4,4,4,4,3,4,2,5,4,2,4,5,4,1,3,4,4,1,5,1,5,1,5,4,5,5,29,20,29,32,48,58.0,40.0,58.0,64.0,96.0
3933,3,22,2,2,1,2,HU,2,4,3,5,2,3,1,5,2,5,4,2,5,2,3,4,4,2,4,4,3,3,3,3,3,3,3,4,2,2,4,2,5,2,4,1,5,2,4,4,4,1,3,1,3,3,5,4,5,3,18,38,29,43,40,36.0,76.0,58.0,86.0,80.0
3934,3,17,1,1,1,2,US,3,4,5,1,3,4,5,2,5,2,1,5,1,4,1,1,1,1,1,1,1,5,1,5,1,5,1,4,5,5,5,2,5,1,4,2,4,2,3,4,5,1,3,1,5,2,5,3,5,4,38,11,49,42,44,76.0,22.0,98.0,84.0,88.0
3935,5,16,1,2,1,2,US,3,1,3,2,3,2,3,3,4,3,3,5,4,3,1,2,1,1,4,2,2,3,2,4,1,4,1,3,5,2,2,3,3,2,1,3,3,3,3,3,2,3,3,2,3,1,2,1,3,3,35,22,39,28,29,70.0,44.0,78.0,56.0,58.0
3936,13,17,1,2,1,2,US,5,1,5,2,5,1,4,1,5,1,3,3,3,2,1,3,3,3,2,1,1,4,5,5,1,3,2,5,4,4,2,4,3,3,1,5,3,5,1,1,1,1,5,1,5,1,3,1,4,5,48,26,40,18,39,96.0,52.0,80.0,36.0,78.0
3937,3,14,1,2,1,1,US,1,4,1,5,1,4,1,5,1,5,5,1,5,1,4,5,4,4,5,5,2,1,4,4,2,3,5,4,4,2,3,4,3,5,1,4,4,5,2,2,4,2,5,2,2,1,4,4,4,4,12,47,29,21,40,24.0,94.0,58.0,42.0,80.0
3938,9,30,2,2,1,2,IN,4,1,5,2,5,1,2,4,5,5,3,5,4,3,3,4,1,3,1,1,1,3,1,5,2,5,1,5,5,4,3,1,3,1,5,4,3,3,4,4,2,1,4,1,4,1,5,1,3,4,38,24,46,37,38,76.0,48.0,92.0,74.0,76.0
3939,3,47,1,1,1,1,US,4,1,5,1,5,1,5,4,5,2,1,5,2,4,3,2,3,2,2,2,1,5,4,4,4,4,1,3,3,4,3,5,3,4,2,3,3,2,3,3,5,1,5,1,5,1,5,5,3,5,45,20,37,27,48,90.0,40.0,74.0,54.0,96.0
3940,13,21,1,2,1,2,GB,4,2,4,1,5,2,4,3,3,3,3,5,4,3,3,4,4,3,3,3,1,5,2,5,1,5,1,5,5,5,3,1,2,2,3,5,4,3,2,2,2,2,2,3,1,5,4,1,5,2,39,31,49,29,25,78.0,62.0,98.0,58.0,50.0
3941,12,23,1,1,1,1,US,1,3,3,4,3,3,2,5,2,5,2,4,2,5,3,2,2,1,3,1,5,3,3,4,3,3,4,3,2,3,3,2,4,2,2,3,3,3,2,3,3,1,5,1,4,1,4,2,5,4,21,19,27,31,42,42.0,38.0,54.0,62.0,84.0
3942,13,17,2,2,1,2,PH,4,1,5,5,5,3,3,4,1,5,3,3,5,4,3,2,4,4,5,3,5,4,3,5,1,5,3,4,5,5,4,1,3,3,2,4,4,4,4,3,4,1,5,1,3,1,4,4,4,4,30,34,40,32,43,60.0,68.0,80.0,64.0,86.0
3943,3,48,1,2,1,1,CA,2,1,4,1,5,1,4,3,5,5,3,5,4,2,2,3,2,1,4,4,2,5,4,5,2,5,2,5,4,5,2,5,3,3,2,5,5,2,2,2,5,1,3,1,5,1,5,5,1,5,39,28,43,25,44,78.0,56.0,86.0,50.0,88.0
3944,3,16,1,2,1,2,CA,2,4,5,4,3,4,2,4,4,5,4,2,3,4,4,4,4,2,4,4,3,4,1,4,1,3,2,4,4,3,4,3,4,4,2,5,4,4,4,3,3,2,3,2,4,2,5,2,3,4,25,35,39,29,36,50.0,70.0,78.0,58.0,72.0
3945,11,15,1,2,1,1,MY,3,3,3,5,3,3,1,3,5,5,5,3,5,1,2,5,3,3,4,5,2,3,1,3,3,3,3,5,3,3,3,3,3,1,1,1,1,3,1,3,3,1,5,2,3,1,3,3,4,4,26,40,35,28,39,52.0,80.0,70.0,56.0,78.0
3946,13,15,2,2,1,5,DE,1,5,1,3,1,4,1,2,5,5,5,1,5,4,4,5,2,2,4,1,4,4,4,1,5,1,5,1,2,1,4,4,5,2,2,5,4,3,1,3,5,1,5,1,5,1,5,5,5,4,20,35,16,29,49,40.0,70.0,32.0,58.0,98.0
3947,3,32,1,2,1,1,US,3,4,4,2,4,2,4,4,3,3,3,2,4,3,2,3,4,4,4,3,3,5,1,4,2,4,1,3,4,4,3,3,4,4,2,3,4,2,3,5,4,4,2,2,4,4,4,4,3,5,33,34,41,33,34,66.0,68.0,82.0,66.0,68.0
3948,5,30,2,2,2,1,AE,1,1,5,5,1,1,5,1,5,5,5,2,5,3,5,5,5,5,5,5,1,5,3,5,1,5,1,3,5,5,3,3,5,1,5,3,5,3,5,5,5,3,5,1,5,1,5,5,5,5,34,47,46,42,48,68.0,94.0,92.0,84.0,96.0
3949,6,20,1,2,1,5,GB,3,4,5,2,5,2,5,3,4,2,3,3,5,3,2,2,2,3,1,2,1,4,1,5,1,5,1,5,5,4,4,2,3,1,4,1,5,3,5,4,2,2,3,3,4,1,5,2,5,4,39,26,48,42,37,78.0,52.0,96.0,84.0,74.0
3950,3,21,1,2,1,3,US,1,3,2,3,3,2,2,3,2,5,5,2,5,1,5,5,4,5,5,4,1,5,2,5,1,4,1,2,5,3,3,3,3,5,1,4,3,2,2,3,4,1,5,1,5,1,4,4,5,5,24,47,43,25,47,48.0,94.0,86.0,50.0,94.0
3951,3,25,1,1,1,1,GB,3,3,4,1,5,2,4,2,4,2,2,3,2,5,3,1,1,1,3,1,3,4,4,4,4,1,2,2,4,3,4,1,5,2,2,1,5,2,4,4,5,2,4,2,4,2,5,5,3,3,40,18,29,42,41,80.0,36.0,58.0,84.0,82.0
3952,3,18,2,2,1,1,AL,2,1,2,3,1,5,1,3,2,5,5,1,5,5,5,5,5,5,5,5,1,3,4,5,1,4,3,4,3,3,2,5,3,5,1,5,2,3,1,3,3,5,4,3,2,2,3,3,4,3,21,46,37,18,30,42.0,92.0,74.0,36.0,60.0
3953,3,23,2,2,2,1,DE,3,2,5,2,3,3,2,2,4,3,5,2,5,2,3,4,5,4,3,4,2,4,2,4,3,4,1,4,4,4,3,3,3,2,4,2,4,2,5,3,4,1,4,2,3,4,4,4,5,2,35,41,40,37,37,70.0,82.0,80.0,74.0,74.0
3954,3,21,1,2,1,3,US,2,2,3,2,3,1,1,4,1,5,5,1,5,2,5,5,4,3,5,4,1,4,2,4,1,4,2,4,5,2,4,5,3,4,2,3,3,3,4,5,4,1,5,1,5,1,5,3,5,5,26,45,41,30,47,52.0,90.0,82.0,60.0,94.0
3955,13,16,1,1,1,5,US,5,2,3,1,5,1,5,4,5,3,2,3,2,1,3,1,3,1,2,2,1,3,3,2,2,3,1,3,2,4,3,2,3,2,4,2,3,2,3,3,3,2,4,2,5,1,4,2,2,5,42,24,34,35,38,84.0,48.0,68.0,70.0,76.0
3956,11,30,2,2,1,2,PH,3,4,4,2,3,3,2,2,3,2,2,3,3,4,4,2,2,2,2,1,1,5,2,4,2,4,2,3,4,3,2,1,4,1,4,2,4,2,4,4,4,3,4,2,4,2,4,4,1,4,32,23,40,40,36,64.0,46.0,80.0,80.0,72.0
3957,3,36,2,1,1,1,DE,2,3,4,4,2,3,1,2,5,4,3,4,3,4,3,4,1,2,3,2,4,2,1,2,4,3,4,3,2,2,4,4,4,3,1,3,3,4,5,3,5,2,5,1,4,2,4,5,4,5,28,25,25,30,45,56.0,50.0,50.0,60.0,90.0
3958,3,32,2,1,1,2,DE,1,4,2,5,1,4,1,4,2,4,4,4,4,3,2,3,2,3,2,2,3,3,3,3,4,3,4,3,4,3,4,1,4,1,2,2,3,3,2,4,4,2,3,2,4,3,3,3,4,4,16,27,29,36,36,32.0,54.0,58.0,72.0,72.0
3959,3,29,2,2,1,1,US,4,1,5,3,5,1,5,4,3,2,2,4,4,5,2,1,1,1,1,1,1,4,1,5,2,5,1,4,4,4,3,4,4,2,3,1,5,3,3,3,4,2,3,1,4,1,5,3,4,5,41,16,45,35,42,82.0,32.0,90.0,70.0,84.0
3960,11,21,1,2,1,1,MY,1,5,3,5,2,3,1,5,1,5,3,3,5,2,4,4,3,3,3,4,1,5,1,5,1,5,1,5,5,4,4,4,4,2,4,3,4,1,4,4,4,2,4,2,3,4,4,4,4,4,15,36,49,38,37,30.0,72.0,98.0,76.0,74.0
3961,13,15,2,2,2,1,US,4,2,5,1,5,1,5,5,5,5,3,5,5,3,3,3,4,3,3,3,4,3,1,5,1,5,1,5,4,5,5,1,5,1,5,4,5,1,5,4,4,1,3,5,5,1,5,4,3,5,40,31,44,46,40,80.0,62.0,88.0,92.0,80.0
3962,3,57,1,1,1,1,CA,1,5,2,5,2,5,1,5,1,5,1,5,2,5,1,1,1,1,1,1,1,5,1,3,3,4,3,3,4,2,4,2,5,1,3,1,5,1,5,5,5,1,5,1,5,2,5,3,5,5,12,11,37,46,47,24.0,22.0,74.0,92.0,94.0
3963,11,20,1,1,1,2,GB,3,2,4,3,5,2,3,2,5,3,4,4,4,2,4,4,5,5,4,3,3,4,3,4,1,4,2,4,4,5,4,3,3,4,3,4,3,2,3,4,5,2,3,3,5,3,3,4,4,3,38,39,40,31,37,76.0,78.0,80.0,62.0,74.0
3964,3,49,1,2,3,2,US,3,1,4,1,5,1,4,3,4,1,2,4,3,5,2,1,1,1,1,1,1,5,1,5,2,5,4,5,5,5,5,1,4,1,5,1,5,1,5,5,4,3,4,2,4,1,4,4,5,4,43,15,46,49,41,86.0,30.0,92.0,98.0,82.0
3965,1,50,1,2,3,2,US,2,1,5,2,5,1,4,4,3,2,1,5,3,5,1,1,1,1,4,1,1,5,3,4,1,5,1,5,4,4,3,3,4,2,4,4,4,1,2,3,5,1,5,1,5,1,5,3,5,5,39,15,45,34,48,78.0,30.0,90.0,68.0,96.0
3966,3,38,1,2,1,2,US,2,5,2,5,2,4,1,4,1,5,5,2,5,2,4,3,3,3,3,4,2,3,1,5,2,4,2,3,5,3,5,1,5,2,5,1,5,1,5,5,5,2,5,2,4,1,4,4,5,5,15,38,40,49,45,30.0,76.0,80.0,98.0,90.0
3967,3,44,1,2,1,1,US,4,1,5,1,5,1,5,1,5,1,3,3,5,3,2,2,2,1,2,2,1,5,1,5,1,5,1,3,5,5,3,3,4,1,3,2,3,1,3,4,5,1,5,1,5,1,5,5,5,5,49,25,48,37,50,98.0,50.0,96.0,74.0,100.0
3968,4,24,2,1,1,1,IN,4,3,4,4,4,3,4,5,4,2,4,4,5,4,3,2,4,4,4,2,5,4,2,5,2,3,2,5,5,5,4,2,4,4,2,3,2,2,2,4,3,2,5,2,4,2,4,2,5,4,33,32,40,31,39,66.0,64.0,80.0,62.0,78.0
3969,5,17,1,2,1,2,US,3,4,5,3,4,3,4,5,2,5,4,5,5,3,3,4,3,3,3,4,5,4,1,5,1,5,1,5,5,5,2,4,3,5,1,3,2,3,3,2,1,5,3,5,1,2,5,1,5,2,28,33,45,22,24,56.0,66.0,90.0,44.0,48.0
3970,3,16,1,2,1,1,US,4,3,5,3,4,3,4,4,4,5,3,5,4,3,3,2,3,3,4,1,1,4,2,5,2,5,3,5,5,4,3,2,4,4,2,4,4,3,3,4,4,2,5,3,5,1,5,5,2,5,33,27,44,31,43,66.0,54.0,88.0,62.0,86.0
3971,3,16,1,2,1,2,US,1,4,5,5,2,2,2,5,2,3,1,3,3,2,1,3,5,4,1,3,1,5,3,5,1,5,1,5,5,5,4,5,4,4,1,2,5,3,5,5,5,1,5,1,5,1,4,5,5,5,23,28,48,34,49,46.0,56.0,96.0,68.0,98.0
3972,3,17,1,1,1,2,US,2,3,4,3,4,4,1,5,1,5,3,3,3,3,2,2,2,1,3,2,1,2,3,4,2,3,3,4,4,3,4,1,4,3,1,4,3,3,2,3,3,3,5,3,3,1,4,4,5,4,22,24,35,30,39,44.0,48.0,70.0,60.0,78.0
3973,3,18,1,2,1,2,US,4,1,3,2,5,1,5,2,4,3,5,2,5,2,2,2,5,2,4,3,2,5,3,5,1,5,1,2,5,5,2,4,4,5,2,3,4,2,5,3,5,4,5,1,5,1,5,5,4,5,42,36,44,30,46,84.0,72.0,88.0,60.0,92.0
3974,3,20,1,2,1,1,US,2,2,4,3,3,3,3,3,3,5,3,4,3,3,2,2,4,3,3,3,2,4,2,4,2,4,2,4,4,3,3,2,3,3,3,3,4,3,4,3,3,3,4,2,3,2,4,3,4,3,29,28,39,33,35,58.0,56.0,78.0,66.0,70.0
3975,3,56,1,2,1,1,CA,2,3,2,2,3,2,4,4,1,3,4,3,5,2,2,2,3,2,4,3,2,4,1,4,2,4,2,3,4,3,3,4,5,2,2,2,4,4,1,5,5,1,4,2,5,2,5,4,3,5,28,32,39,32,44,56.0,64.0,78.0,64.0,88.0
3976,3,30,1,1,1,1,CA,3,3,3,3,3,2,3,3,3,3,1,5,4,3,2,1,2,1,4,4,1,4,3,4,2,4,3,5,4,5,5,1,5,1,4,1,4,1,4,4,5,2,5,2,5,1,5,4,5,5,31,23,41,46,47,62.0,46.0,82.0,92.0,94.0
3977,3,26,1,2,1,2,US,3,3,4,3,4,3,3,3,3,3,4,2,4,4,4,4,4,4,3,2,1,4,1,5,1,5,2,4,5,4,2,3,2,2,4,2,3,1,2,3,5,1,4,1,4,2,3,4,3,4,32,35,46,32,41,64.0,70.0,92.0,64.0,82.0
3978,1,18,2,2,1,1,NO,2,4,3,3,3,3,2,3,2,3,3,4,3,2,1,2,2,1,2,3,2,5,2,4,2,3,1,4,5,3,3,4,5,3,2,3,4,2,3,5,5,1,5,1,5,1,5,5,5,5,26,23,41,34,50,52.0,46.0,82.0,68.0,100.0
3979,5,51,1,2,1,1,US,2,3,2,3,3,2,4,3,1,2,1,3,4,3,3,4,5,2,5,1,5,3,1,4,2,5,3,5,3,4,4,5,4,3,1,2,3,3,2,4,1,4,5,4,3,3,3,1,3,3,29,31,37,29,26,58.0,62.0,74.0,58.0,52.0
3980,13,22,2,2,1,2,LB,3,3,3,3,2,3,1,5,4,4,3,4,5,3,2,3,3,2,3,2,1,4,1,4,2,4,4,4,4,5,5,3,5,2,3,2,2,1,3,3,3,2,3,3,4,3,4,2,2,3,25,28,41,37,31,50.0,56.0,82.0,74.0,62.0
3981,3,44,2,2,1,2,HR,1,5,1,5,1,5,1,5,1,5,5,1,5,5,5,5,4,3,4,4,5,4,4,5,4,3,2,3,5,3,4,2,5,4,1,4,3,3,5,5,2,3,4,4,5,1,5,5,5,5,10,41,32,34,41,20.0,82.0,64.0,68.0,82.0
3982,3,14,1,2,3,1,US,1,4,3,4,2,4,3,5,3,3,2,2,4,3,2,4,3,2,2,3,1,4,1,5,2,5,2,5,5,5,4,3,5,2,4,2,4,2,4,4,5,2,4,2,4,1,5,4,4,4,22,29,47,40,43,44.0,58.0,94.0,80.0,86.0
3983,4,50,2,1,1,5,PK,3,4,4,3,3,3,4,3,4,3,4,4,4,3,2,3,2,1,2,3,1,4,2,4,2,4,2,3,5,5,4,3,5,2,3,2,4,2,4,5,3,2,4,3,4,1,5,1,5,4,32,26,42,40,38,64.0,52.0,84.0,80.0,76.0
3984,3,26,1,2,1,2,US,2,2,3,3,4,1,2,4,2,4,5,3,5,4,4,2,2,2,4,2,2,3,1,3,2,4,2,5,4,3,4,2,5,1,3,2,4,1,4,4,2,1,4,1,4,1,3,2,4,4,29,31,39,42,38,58.0,62.0,78.0,84.0,76.0
3985,12,25,1,1,1,2,US,5,1,5,2,5,1,5,1,5,1,2,4,1,1,1,1,1,1,1,1,5,5,1,5,1,3,1,5,4,5,2,5,1,4,3,4,4,4,4,3,3,3,5,3,4,1,3,1,5,5,49,16,43,24,37,98.0,32.0,86.0,48.0,74.0
3986,5,26,2,2,1,1,SE,1,3,4,3,2,1,1,5,1,5,5,1,5,1,5,5,5,5,5,5,1,4,4,5,1,5,1,5,5,3,4,2,5,1,1,2,5,5,4,5,4,1,3,1,5,4,5,4,5,2,22,50,44,38,40,44.0,100.0,88.0,76.0,80.0
