,race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
11310,13,48,1,2,1,2,US,5,1,5,1,5,1,5,3,5,1,2,5,2,4,2,1,1,1,4,1,2,5,1,4,4,3,1,5,5,5,5,2,5,1,5,1,5,1,5,5,4,1,5,1,5,1,5,1,5,5,48,17,43,49,45,96.0,34.0,86.0,98.0,90.0
11311,1,25,1,2,1,1,CA,3,2,4,2,4,3,4,3,2,2,5,2,4,1,2,3,3,3,2,4,1,5,1,5,1,5,2,3,5,4,4,5,3,4,1,4,3,3,3,3,2,3,3,3,2,4,3,2,4,2,35,35,46,25,26,70.0,70.0,92.0,50.0,52.0
11312,3,38,2,1,1,2,SE,3,1,3,5,4,4,3,4,3,2,3,3,4,3,3,1,3,1,1,1,3,4,1,3,2,4,3,2,2,3,2,3,3,2,3,3,3,5,3,4,5,1,5,1,5,5,5,4,3,5,30,23,33,29,43,60.0,46.0,66.0,58.0,86.0
11313,3,15,1,2,1,1,GB,2,3,3,3,3,3,3,3,5,5,5,3,5,1,3,4,3,4,4,5,1,4,2,5,2,5,2,4,5,3,2,3,4,4,1,4,4,3,1,3,5,2,5,3,5,1,5,5,5,5,29,41,43,25,47,58.0,82.0,86.0,50.0,94.0
11314,1,23,1,2,1,2,US,2,4,3,4,2,3,1,5,1,4,5,2,5,3,3,3,5,5,3,2,1,5,1,5,1,4,1,5,5,4,3,3,5,3,2,2,3,3,2,3,4,2,5,2,4,1,3,4,5,5,19,38,48,31,43,38.0,76.0,96.0,62.0,86.0
11315,13,41,1,2,1,1,US,5,1,5,1,5,1,5,3,5,3,1,3,2,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,3,5,5,1,5,1,5,1,5,1,5,3,4,1,5,1,5,1,5,3,5,5,46,13,48,48,47,92.0,26.0,96.0,96.0,94.0
11316,3,18,1,2,2,2,US,2,3,4,4,4,3,2,5,2,3,2,4,1,4,2,2,2,2,2,2,2,4,2,4,1,4,2,4,4,3,2,4,4,4,2,2,2,3,2,2,4,1,5,2,4,2,4,4,5,5,26,19,40,25,44,52.0,38.0,80.0,50.0,88.0
11317,5,18,1,2,1,1,US,1,4,1,5,1,2,1,5,3,5,5,3,5,3,5,5,5,5,5,5,3,2,1,4,3,5,3,4,4,3,5,1,3,3,2,3,5,3,5,5,5,3,5,1,5,1,4,1,4,5,16,46,36,39,42,32.0,92.0,72.0,78.0,84.0
11318,3,57,1,1,2,5,CA,3,4,4,4,3,3,2,4,3,5,3,4,3,4,2,2,2,4,2,4,1,3,2,4,2,4,4,4,4,3,3,4,3,4,2,4,2,3,4,3,3,2,3,5,4,4,4,2,2,2,25,26,37,26,27,50.0,52.0,74.0,52.0,54.0
11319,3,54,1,2,1,1,NO,1,1,5,2,5,1,3,4,1,3,3,3,4,3,1,2,1,1,2,2,1,5,1,5,1,5,1,5,5,5,5,2,4,1,5,1,4,1,5,4,3,3,4,3,4,1,3,3,4,5,34,22,50,46,37,68.0,44.0,100.0,92.0,74.0
